CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_mg/L,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
CAZEPA-1,POZO SAN FERNANDO 1,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,535510","25,509710",2021,"148,645",Media,329,Buena para riego,"210,56","218,4",Excelente para riego,Potable - Dulce,"0,4692",Media,"129,831",Potable - Dura,<1.1,Potable - Excelente,"0,315762",Potable - Excelente,"0,0146",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-10,POZO EL HUARACHE,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,498190","25,528860",2021,"205,02",Alta,615,Buena para riego,"393,6","408,8",Excelente para riego,Potable - Dulce,"0,3576",Baja,"221,7114",Potable - Dura,10,Buena calidad,"3,302791",Potable - Excelente,"0,0209",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-11,POZO LAS AURAS,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,514380","25,548890",2021,"229,14",Alta,636,Buena para riego,"407,04",414,Excelente para riego,Potable - Dulce,"0,3169",Baja,"221,7114",Potable - Dura,<1.1,Potable - Excelente,"4,30467",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-2,POZO SAN FERNANDO 2,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,539530","25,509460",2021,"163,835",Alta,379,Buena para riego,"242,56","239,6",Excelente para riego,Potable - Dulce,"0,566",Media,"141,8154",Potable - Dura,<1.1,Potable - Excelente,"0,156885",Potable - Excelente,"0,0135",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,1214",Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-25,POZO RAYMUNDO,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,540540","25,511690",2021,"161,805",Alta,354,Buena para riego,"226,56","233,6",Excelente para riego,Potable - Dulce,"0,4634",Media,"139,818",Potable - Dura,<1.1,Potable - Excelente,"0,224651",Potable - Excelente,"0,0199",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0475",Potable - Excelente,"0,251",Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-3,POZO SAN FERNANDO 3,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,536870","25,509510",2021,"201,81",Alta,637,Buena para riego,"407,68","393,6",Excelente para riego,Potable - Dulce,"0,3702",Baja,"233,6958",Potable - Dura,<1.1,Potable - Excelente,"1,801079",Potable - Excelente,"0,0287",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0017",Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
CAZEPA-4,POZO SAN FERNANDO 4,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,537520","25,507770",2021,"210,49",Alta,704,Buena para riego,"450,56","463,2",Excelente para riego,Potable - Dulce,"0,4681",Media,"255,6672",Potable - Dura,<1.1,Potable - Excelente,"2,536777",Potable - Excelente,"0,0205",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0256",Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-5,POZO SAN FERNANDO 5,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,538500","25,509330",2021,"193,13",Alta,564,Buena para riego,"360,96","362,2",Excelente para riego,Potable - Dulce,"0,4814",Media,"209,727",Potable - Dura,<1.1,Potable - Excelente,"0,76618",Potable - Excelente,"0,0239",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0053",Potable - Excelente,"0,0298",Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-7,POZO SAN FERNANDO 7,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,537130","25,508610",2021,"208,035",Alta,582,Buena para riego,"372,48","377,8",Excelente para riego,Potable - Dulce,"0,4171",Media,"221,7114",Potable - Dura,10,Buena calidad,"1,177043",Potable - Excelente,"0,028",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
CAZEPA-8,POZO EL BORDO,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,520940","25,526570",2021,"178,89",Alta,517,Buena para riego,"330,88","325,2",Excelente para riego,Potable - Dulce,"0,4326",Media,"175,7712",Potable - Dura,10,Buena calidad,"3,102369",Potable - Excelente,"0,0308",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
CAZEPA-9,POZO VILLA JARDIN,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,511170","25,548240",2021,"202,005",Alta,641,Buena para riego,"410,24","403,8",Excelente para riego,Potable - Dulce,"0,4952",Media,"219,714",Potable - Dura,<1.1,Potable - Excelente,"3,799561",Potable - Excelente,"0,0322",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0033",Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLAGU19,POZO PASO BLANCO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,VALLE DE AGUASCALIENTES,POZO,"-102,315570","21,974970",2021,"427,85",Indeseable como FAAP,,,,"635,6",Cultivos sensibles,Potable - Dulce,"0,9508",Potable - Optima,272,Potable - Dura,<1.1,Potable - Excelente,"1,874776",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Amarillo,"ALC,",NO,ND,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU3,PALO ALTO POZO Nº 2,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,EL LLANO,EL LLANO,POZO,"-101,964390","21,905500",2021,"213,925",Alta,559,Buena para riego,"357,76","405,6",Excelente para riego,Potable - Dulce,"3,1038",Alta,"99,87",Potable - Moderadamente suave,<1.1,Potable - Excelente,"1,896848",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,"0,0318",Potable - Excelente,Rojo,"FLUO,",SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU34,POZO TANQUE DE LOS JIMENEZ,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE AGUASCALIENTES,POZO,"-102,367160","21,707900",2021,220,Alta,,,397,,Excelente para riego,Potable - Dulce,"1,25",Potable - Optima,133,Potable - Dura,,,,,,,,,,,,,,,,,,,Verde,,SI,ND,SI,SI,SI,SI,ND,ND,ND,ND,ND,ND,ND,ND,ND
DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,VALLE DE CALVILLO,POZO,"-102,728000","21,844390",2021,"120,4",Media,370,Buena para riego,"236,8","299,2",Excelente para riego,Potable - Dulce,"0,9844",Potable - Optima,90,Potable - Moderadamente suave,<1.1,Potable - Excelente,"3,153371",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU49,POZO TAPIAS VIEJAS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,VENADERO,POZO,"-102,535580","21,851160",2021,"176,3",Alta,311,Buena para riego,"199,04","255,4",Excelente para riego,Potable - Dulce,"1,6536",Alta,92,Potable - Moderadamente suave,<1.1,Potable - Excelente,"1,841724",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"FLUO,",SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU5566,POZO ASIENTOS 1,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,"-102,088139","22,247722",2021,"109,65",Media,329,Buena para riego,"210,56","228,4",Excelente para riego,Potable - Dulce,"0,9381",Potable - Optima,"81,8934",Potable - Moderadamente suave,<1.1,Potable - Excelente,"1,098265",Potable - Excelente,"0,0352",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLAGU5568,POZO TEPEZALA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,TEPEZALA,VALLE DE AGUASCALIENTES,POZO,"-102,168778","22,215750",2021,,,880,Permisible para riego,"563,2",546,Cultivos sensibles,Potable - Dulce,,,,,,,"0,032305",Potable - Excelente,"0,0502",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0994",Potable - Excelente,"0,4103",Sin efectos en la salud - Puede dar color al agua,Rojo,"AS,FE,",ND,SI,SI,SI,ND,ND,ND,SI,NO,SI,SI,SI,SI,SI,NO
DLAGU5569,POZO PUERTO DE LA CONCEPCION,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,"-102,124944","22,193972",2021,,,593,Buena para riego,"379,52","378,8",Excelente para riego,Potable - Dulce,,,,,,,"0,451764",Potable - Excelente,"0,0334",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,002",Potable - Excelente,"0,0474",Potable - Excelente,Rojo,"AS,",ND,SI,SI,SI,ND,ND,ND,SI,NO,SI,SI,SI,SI,SI,SI
DLAGU5576,POZO NUM 6 PARRAS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE AGUASCALIENTES,POZO,"-102,281667","21,915028",2021,"225,75",Alta,553,Buena para riego,"353,92","394,6",Excelente para riego,Potable - Dulce,"1,2533",Potable - Optima,134,Potable - Dura,<1.1,Potable - Excelente,"1,35541",Potable - Excelente,"0,0132",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,"0,00057",Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU6,POZO SAN GIL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,"-102,022100","22,208870",2021,132,Media,,,673,,Cultivos sensibles,Potable - Dulce,"1,05",Potable - Optima,194,Potable - Dura,,,,,,,,,,,,,,,,,,,Verde,,SI,ND,SI,SI,SI,SI,ND,ND,ND,ND,ND,ND,ND,ND,ND
DLAGU7,POZO COSIO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,VALLE DE AGUASCALIENTES,POZO,"-102,288010","22,366850",2021,"210,7",Alta,525,Buena para riego,336,355,Excelente para riego,Potable - Dulce,"1,7326",Alta,118,Potable - Moderadamente suave,<1.1,Potable - Excelente,"1,355375",Potable - Excelente,"0,0306",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLAGU9,POZO EL SALITRILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,VALLE DE AGUASCALIENTES,POZO,"-102,294490","22,184350",2021,"322,5",Alta,673,Buena para riego,"430,72",484,Excelente para riego,Potable - Dulce,"1,1035",Potable - Optima,190,Potable - Dura,<1.1,Potable - Excelente,"1,217116",Potable - Excelente,"0,0181",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ107,RANCHO EL TECOLOTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,"-110,244800","23,451380",2021,,,1263,Permisible para riego,"808,32","877,6",Cultivos sensibles,Potable - Dulce,,,,,,,"16,588506",No apta como FAAP,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0015",Potable - Excelente,<0.025,Potable - Excelente,Rojo,"NO3,",ND,SI,SI,SI,ND,ND,ND,NO,SI,SI,SI,SI,SI,SI,SI
DLBAJ108,POZO A.P. CNA 7 (ANTES POZO A.P. CNA 6),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,"-110,220670","23,464930",2021,"187,48",Alta,482,Buena para riego,"308,48","264,2",Excelente para riego,Potable - Dulce,"0,3801",Baja,"195,7452",Potable - Dura,<1.1,Potable - Excelente,"5,179935",Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ110,"POZO 26, SAN JUAN",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,"-110,213960","23,474600",2021,,,421,Buena para riego,"269,44","255,4",Excelente para riego,Potable - Dulce,,,,,,,"3,937361",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,ND,SI,SI,SI,ND,ND,ND,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ117,LAS PARRITAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,"-110,088778","23,799861",2021,,,892,Permisible para riego,"570,88","776,2",Cultivos sensibles,Potable - Dulce,,,,,,,"13,197176",No apta como FAAP,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0096",Potable - Excelente,"0,0615",Potable - Excelente,Rojo,"NO3,",ND,SI,SI,SI,ND,ND,ND,NO,SI,SI,SI,SI,SI,SI,SI
DLBAJ118,SAN ANTONIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,"-110,054722","23,824722",2021,,,981,Permisible para riego,"627,84","1288,6",Cultivos con manejo especial,Ligeramente salobres,,,,,,,,,"0,5422",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0128",Potable - Excelente,"0,3798",Sin efectos en la salud - Puede dar color al agua,Rojo,"AS,FE,",ND,SI,SI,SI,ND,ND,ND,ND,NO,SI,SI,SI,SI,SI,NO
DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,"-109,907091","23,946320",2021,,,1109,Permisible para riego,"709,76","719,2",Cultivos sensibles,Potable - Dulce,,,,,,,"6,040934",Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,"0,0057",Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0015",Potable - Excelente,"0,0899",Potable - Excelente,Verde,,ND,SI,SI,SI,ND,ND,ND,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ122,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,"-110,108253","23,807347",2021,,,836,Permisible para riego,"535,04",488,Cultivos sensibles,Potable - Dulce,,,,,,,,,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0398",Potable - Excelente,"0,0777",Potable - Excelente,Verde,,ND,SI,SI,SI,ND,ND,ND,ND,SI,SI,SI,SI,SI,SI,SI
DLBAJ127,TIRO SANTA CRUZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,"-110,061100","23,805540",2021,,,1081,Permisible para riego,"691,84","985,4",Cultivos sensibles,Potable - Dulce,,,,,,,"0,44869",Potable - Excelente,"0,0934",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,"0,0305",Potable - Excelente,Rojo,"AS,",ND,SI,SI,SI,ND,ND,ND,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ128,EL ROSARIO II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,"-110,111850","23,742210",2021,,,1771,Permisible para riego,"1133,44","1289,6",Cultivos con manejo especial,Ligeramente salobres,,,,,,,"1,150731",Potable - Excelente,"0,0379",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0096",Potable - Excelente,"0,034",Potable - Excelente,Rojo,"AS,",ND,SI,SI,SI,ND,ND,ND,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ129,"SP. A.P. 1, L. 9, COL. SIN.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,"-111,720090","25,135490",2021,"195,3",Alta,,,,"543,6",Cultivos sensibles,Potable - Dulce,"0,4796",Media,"195,7452",Potable - Dura,<1.1,Potable - Excelente,"9,130177",Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,"0,0055",Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,"0,0491",Potable - Excelente,Verde,,SI,ND,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ136,EL SARGENTO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,"-109,964667","23,969660",2021,"124,7",Media,643,Buena para riego,"411,52","290,8",Excelente para riego,Potable - Dulce,"0,4982",Media,"49,935",Potable - Suave,<1.1,Potable - Excelente,"0,501846",Potable - Excelente,"0,1283",No apta como FAAP,<0.003,Potable - Excelente,"0,0068",Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,"0,05",Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ183,LAGUNEROS 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,"-113,678670","27,821750",2021,"142,135",Media,806,Permisible para riego,"515,84","530,6",Cultivos sensibles,Potable - Dulce,"0,2869",Baja,"221,7114",Potable - Dura,<1.1,Potable - Excelente,"1,565027",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,"0,0431",Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0022",Potable - Excelente,"0,1281",Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ54,POZO NO.VII R(ANTES A.P. VII),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,"-110,294740","24,138710",2021,,,712,Buena para riego,"455,68","434,2",Excelente para riego,Potable - Dulce,,,,,,,"6,453874",Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,ND,SI,SI,SI,ND,ND,ND,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ5533,POZO AP EL CARRIZAL,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,"-110,285170","23,763530",2021,"159,14",Alta,1069,Permisible para riego,"684,16","676,8",Cultivos sensibles,Potable - Dulce,<0.2,Baja,"277,6386",Potable - Dura,3255,Contaminada,"11,727633",No apta como FAAP,"0,0201",Apta como FAAP,<0.003,Potable - Excelente,"0,0053",Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"CF,NO3,",SI,SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI
DLBAJ5535,POZO AP LA ARDILLA 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,"-110,470794","24,126101",2021,"232,2",Alta,1234,Permisible para riego,"789,76","797,6",Cultivos sensibles,Potable - Dulce,"1,015",Potable - Optima,"193,7478",Potable - Dura,<1.1,Potable - Excelente,"5,705247",Potable - Buena calidad,"0,0455",No apta como FAAP,<0.003,Potable - Excelente,"0,0108",Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ5536,POZO AP LA ARDILLA 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,"-110,472524","24,113759",2021,,,1636,Permisible para riego,"1047,04","987,8",Cultivos con manejo especial,Ligeramente salobres,,,,,,,"8,744828",Potable - Buena calidad,"0,0528",No apta como FAAP,<0.003,Potable - Excelente,"0,0119",Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",ND,SI,SI,SI,ND,ND,ND,SI,NO,SI,SI,SI,SI,SI,SI
DLBAJ5607,POZO No. II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,"-110,302800","24,143250",2021,,,1003,Permisible para riego,"641,92","669,4",Cultivos sensibles,Potable - Dulce,,,,,,,"10,680434",Potable - Buena calidad,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,005",Potable - Excelente,"0,0268",Potable - Excelente,Verde,,ND,SI,SI,SI,ND,ND,ND,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ5608,POZO No. IV,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,"-110,308000","24,123740",2021,,,1069,Permisible para riego,"684,16","624,2",Cultivos sensibles,Potable - Dulce,,,,,,,"7,48547",Potable - Buena calidad,"0,012",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,"0,0273",Potable - Excelente,Verde,,ND,SI,SI,SI,ND,ND,ND,SI,SI,SI,SI,SI,SI,SI,SI
