CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_mg/L,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
OCCCN5756,POZO EL FENIX,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,MATAMOROS,PRINCIPAL-REGION LAGUNERA,POZO,"-103,304220","25,701190",2021,"327,6",Alta,1824,Permisible para riego,1167,,Cultivos con manejo especial,Ligeramente salobres,"0,78",Potable - Optima,740,Muy dura e indeseable usos industrial y domestico,,,"2,7",Potable - Excelente,<0.01,Potable - Excelente,,,,,,,,,,,,,Amarillo,"DT,",SI,SI,SI,SI,SI,NO,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5757,POZO GRANADA,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,MATAMOROS,PRINCIPAL-REGION LAGUNERA,POZO,"-103,267000","25,643860",2021,"111,33",Media,664,Buena para riego,332,,Excelente para riego,Potable - Dulce,"0,83",Potable - Optima,122,Potable - Dura,,,<0.02,Potable - Excelente,"0,0449",No apta como FAAP,,,,,,,,,,,,,Rojo,"AS,",SI,SI,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5759,POZO LA ESPERANZA.,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,MATAMOROS,PRINCIPAL-REGION LAGUNERA,POZO,"-103,282690","25,562640",2021,"144,14",Media,290,Buena para riego,145,,Excelente para riego,Potable - Dulce,"0,49",Media,56,Potable - Suave,,,"0,1",Potable - Excelente,"0,0481",No apta como FAAP,,,,,,,,,,,,,Rojo,"AS,",SI,SI,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5760,POZO TANQUE MATAMOROS,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,MATAMOROS,PRINCIPAL-REGION LAGUNERA,POZO,"-103,250390","25,535110",2021,"149,95",Media,1188,Permisible para riego,137,,Excelente para riego,Potable - Dulce,"1,17",Potable - Optima,217,Potable - Dura,,,"0,9",Potable - Excelente,"0,0449",No apta como FAAP,,,,,,,,,,,,,Rojo,"AS,",SI,SI,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5761,POZO 12 DE DICIEMBRE.,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,TORREON,ORIENTE AGUANAVAL,POZO,"-103,173080","25,042190",2021,"290,39",Alta,2430,Dudosa para riego,1555,,Cultivos con manejo especial,Ligeramente salobres,"1,37",Potable - Optima,830,Muy dura e indeseable usos industrial y domestico,,,"22,1",No apta como FAAP,"0,0476",No apta como FAAP,,,,,,,,,,,,,Rojo,"CONDUC,DT,AS,NO3,",SI,NO,SI,SI,SI,NO,ND,NO,NO,ND,ND,ND,ND,ND,ND
OCCCN5763,POZO JALISCO,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,TORREON,ORIENTE AGUANAVAL,POZO,"-103,431920","25,216830",2021,"326,23",Alta,1134,Permisible para riego,726,,Cultivos sensibles,Potable - Dulce,"1,35",Potable - Optima,392,Potable - Dura,,,"3,9",Potable - Excelente,"0,0245",Apta como FAAP,,,,,,,,,,,,,Verde,,SI,SI,SI,SI,SI,SI,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5764,POZO JIMULCO,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,TORREON,ORIENTE AGUANAVAL,POZO,"-103,347000","25,111190",2021,"324,39",Alta,1394,Permisible para riego,892,,Cultivos sensibles,Potable - Dulce,"1,74",Alta,375,Potable - Dura,,,"1,5",Potable - Excelente,"0,0208",Apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,",SI,SI,SI,SI,NO,SI,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5765,POZO JUAN EUGENIO,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,TORREON,ORIENTE AGUANAVAL,POZO,"-103,497830","25,285720",2021,"273,58",Alta,"1686,5",Permisible para riego,"1079,5",,Cultivos con manejo especial,Ligeramente salobres,"1,59",Alta,"486,5",Potable - Dura,,,"4,1",Potable - Excelente,"0,03005",No apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5769,POZO DARIAS,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,VIESCA,ORIENTE AGUANAVAL,POZO,"-102,913580","24,832080",2021,"235,7",Alta,2940,Dudosa para riego,1882,,Cultivos con manejo especial,Ligeramente salobres,"1,67",Alta,532,Muy dura e indeseable usos industrial y domestico,,,"18,8",No apta como FAAP,"0,0179",Apta como FAAP,,,,,,,,,,,,,Rojo,"CONDUC,FLUO,DT,NO3,",SI,NO,SI,SI,NO,NO,ND,NO,SI,ND,ND,ND,ND,ND,ND
OCCCN5770,POZO FLOR DE MAYO,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,VIESCA,ORIENTE AGUANAVAL,POZO,"-103,424140","25,380170",2021,"274,33",Alta,2310,Dudosa para riego,1478,,Cultivos con manejo especial,Ligeramente salobres,"1,13",Potable - Optima,817,Muy dura e indeseable usos industrial y domestico,,,"21,6",No apta como FAAP,"0,0246",Apta como FAAP,,,,,,,,,,,,,Rojo,"CONDUC,DT,NO3,",SI,NO,SI,SI,SI,NO,ND,NO,SI,ND,ND,ND,ND,ND,ND
