CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCPNO6192,POZO ACUIFERO RIO CULIACAN 22,,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,CULIACÁN,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.667,-107.503925
OCPNO6193,POZO ACUIFERO RIO PIAXTLA 1,,2507,RIO PIAXTLA,PACÍFICO NORTE,SINALOA,SAN IGNACIO,ACUÍFERO RIO PIAXTLA,SUBTERRÁNEO,POZO,23.93472222,-106.4219583
OCPNO6194,POZO ACUIFERO RIO PIAXTLA 2,,2507,RIO PIAXTLA,PACÍFICO NORTE,SINALOA,SAN IGNACIO,ACUÍFERO RIO PIAXTLA,SUBTERRÁNEO,POZO,23.88966389,-106.4916083
OCPNO6195,POZO ACUIFERO RIO PIAXTLA 3,,2507,RIO PIAXTLA,PACÍFICO NORTE,SINALOA,SAN IGNACIO,ACUÍFERO RIO PIAXTLA,SUBTERRÁNEO,POZO,23.92166944,-106.6216361
OCPNO6196,POZO ACUIFERO RIO PIAXTLA 4,,2507,RIO PIAXTLA,PACÍFICO NORTE,SINALOA,SAN IGNACIO,ACUÍFERO RIO PIAXTLA,SUBTERRÁNEO,POZO,23.78998333,-106.6028167
OCPNO6197,POZO ACUIFERO RIO PIAXTLA 5,,2507,RIO PIAXTLA,PACÍFICO NORTE,SINALOA,SAN IGNACIO,ACUÍFERO RIO PIAXTLA,SUBTERRÁNEO,POZO,23.84219722,-106.6595139
OCPNO6198,POZO ACUIFERO RIO PRESIDIO 1,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,CONCORDIA ,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.41651389,-106.2077194
OCPNO6199,POZO ACUIFERO RIO PRESIDIO 3,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,CONCORDIA ,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.24243056,-106.0491
OCPNO6200,POZO ACUIFERO RIO PRESIDIO 4,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,CONCORDIA ,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.25346111,-106.1281028
OCPNO6201,POZO ACUIFERO RIO PRESIDIO 5,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,MAZATLAN,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.24684167,-106.2103944
OCPNO6202,POZO ACUIFERO RIO PRESIDIO 6,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,MAZATLAN ,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.33532222,-106.2449306
OCPNO6203,POZO ACUIFERO RIO PRESIDIO 12,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,CONCORDIA ,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.14121389,-106.0568028
OCPNO6204,POZO ACUIFERO RIO BALUARTE 1,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,23.06633,-105.8432
OCPNO6205,POZO ACUIFERO RIO BALUARTE 3,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,23.03572,-105.72628
OCPNO6206,POZO ACUIFERO RIO BALUARTE 4,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,23.03794,-105.79648
OCPNO6207,POZO ACUIFERO RIO BALUARTE 5,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,22.95223611,-105.8751556
OCPNO6208,POZO ACUIFERO RIO BALUARTE 6,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,23.02843,-105.95078
OCPNO6209,POZO ACUIFERO RIO BALUARTE 7,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,23.05592,-105.96323
OCPNO6210,POZO ACUIFERO RIO BALUARTE 8,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,23.09281,-105.9861
OCPNO6211,POZO ACUIFERO RIO BALUARTE 9,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,22.94911,-105.91082
OCPNO6212,POZO ACUIFERO RIO BALUARTE 10,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,22.93400556,-105.9231444
OCPNO6213,POZO ACUIFERO RIO BALUARTE 11,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,22.91075833,-105.9220222
OCPNO6214,POZO ACUIFERO RIO BALUARTE 12,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,22.92012,-105.90926
OCPNO6215,POZO ACUIFERO RIO BALUARTE 15,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,22.93834,-105.82045
OCPNO6216,POZO ACUIFERO RIO BALUARTE 19,,2510,RIO BALUARTE,PACÍFICO NORTE,SINALOA,ROSARIO,ACUÍFERO RIO BALUARTE,SUBTERRÁNEO,POZO,22.92505,-105.8891083
OCPNO6217,CNA-7 EL BATALLON,,2503,RIO MOCORITO,PACÍFICO NORTE,SINALOA,ANGOSTURA,ACUÍFERO RIO MOCORITO,SUBTERRÁNEO,POZO,25.28944444,-108.1972222
